Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
Casă 3 camere la cheie$ cu teren și posibilitate mansardar;Bucuresti-Ilfov / Bucuresti;87 m²;44 m²;Bună;3;1;Complet;Vânzare;230.000 €
Casa tip duplex mobilat utilat$ 4 camere$ cartier privat$ zo;Cluj / Gilau;422 m²;111 m²;Bună;4;2;Complet;Vânzare;209.000 €
Casă 3 camere - Centrul Vechi – Baia Mare;Maramures / Baia Mare;234 m²;120 m²;Bună;3;1;;Vânzare;168.000 €
Casa 5 camere$ zona ultracentrala$ 1500mp teren$ Radauti;Suceava / Radauti;1500 m²;200 m²;Bună;5;2;Complet;Vânzare;410.000 €
FILM!Refugiu elegant$cadru natural rar$ vecinatati discrete$;Brasov / Brasov;1700 m²;211 m²;Bună;5;5;;Vânzare;280.000 €
Proprietate ideala pentru investitie cu teren 825 mp str....;Brasov / Brasov;825 m²;200 m²;Bună;5+;3+;Parțial;Vânzare;370.000 €
CASA 3 CAMERE LIVING | 1790 MP TEREN | SAT RAPA | BIHOR;Bihor / Rapa;1790 m²;140 m²;Bună;3;1;;Vânzare;60.000 €
Casa la sol$ 3 camere - 310 mp - Navodari;Constanta / Navodari;310 m²;95 m²;Nouă;3;1;Nemobilat;Vânzare;75.000 €
Casa deosebita$ materiale premimum$ 515 mp teren$ Rediu;Iasi / Rediu;515 m²;114 m²;Bună;4;3;Nemobilat;Vânzare;270.000 €
Vila Gabriela Otopeni;Bucuresti-Ilfov / Otopeni;1112 m²;269 m²;Bună;5+;6;Complet;Vânzare;395.000 €
Proiectul Tău de Vis Începe Aici – Casă Nouă$ 588 m...;Brasov / Carpinis;588 m²;154 m²;Rezonabilă;4;2;Nemobilat;Vânzare;125.000 €
Casă cu 220mp utili si teren 2000mp pe Valea Almașului!;Cluj / Belis;2000 m²;220 m²;Bună;5+;3;Complet;Vânzare;225.000 €
Casa moderna de vanzare mobilata 147 mpu teren 234 mp Selimb;Sibiu / Sibiu;234 m²;147 m²;Bună;4;3;Complet;Vânzare;280.000 €
Casă individuală cu 5 camere și teren de 1231 mp în Suce;Cluj / Suceagu;1231 m²;158 m²;Bună;5;2;Complet;Vânzare;185.000 €
Casa tip Duplex$zona Tauti;Cluj / Floresti;239 m²;120 m²;Bună;4;3;Complet;Vânzare;280.000 €
Casa batraneasca$ teren 19.000 mp$ Fratautii Vechi;Suceava / Fratautii Vechi;19000 m²;97 m²;De renovat;3;1;Nemobilat;Vânzare;190.000 €
Casa individuala$ 800 mp teren$ Siret;Suceava / Siret;800 m²;76 m²;De renovat;3;1;Parțial;Vânzare;45.000 €
Casă finalizată cu 117mp utili în zona Bucium;Iasi / Iasi;250 m²;117 m²;Bună;4;2;;Vânzare;178.000 €
Doua case de tip duplex de vanzare Comision 0 in Sibiu;Sibiu / Sibiu;500 m²;308 m²;Bună;5+;4;Complet;Vânzare;478.900 €
Casa la rosu 160 mp$ teren 900 mp$ zona Suceava (Moara);Suceava / Suceava;926 m²;160 m²;Bună;3;1;Nemobilat;Vânzare;92.500 €
Oportunitate!!! Casa individuala 150 mp$ Plus casa la rosu;Suceava / Vicovu De Sus;1100 m²;150 m²;De renovat;4;1;Parțial;Vânzare;170.000 €
CASA PREMIUM 4 CAMERE$ 2 BAI$ LUNCA CETATUII-ASTORIA;Iasi / Iasi;380 m²;110 m²;Bună;4;2;Parțial;Vânzare;195.000 €
Casă/Vilă de vânzare Agigea$ Constanța;Constanta / Agigea;300 m²;128 m²;Bună;4;2;;Vânzare;255.000 €
Casă / Vilă cu 4 camere de vânzare Corbeanca;Bucuresti-Ilfov / Corbeanca;216 m²;146 m²;Bună;4;3;;Vânzare;140.000 €
Casă spațioasă$ complet mobilată$ cu teren generos – F;Prahova / Floresti;1150 m²;340 m²;Bună;5+;2;Complet;Vânzare;169.000 €
Ofertă imobiliară rară – Casă Premium$ eficientă ener;Cluj / Chinteni;500 m²;127 m²;Nouă;5;3;Nemobilat;Vânzare;220.000 €
Casa individuala Comision 0% 3 camere anexe teren 800 mp Ru;Sibiu / Rusi;929 m²;72 m²;Bună;3;2;Parțial;Vânzare;72.000 €
Casa de vanzare str Paltinului nr 28 Vasile Aaron 3 camere;Sibiu / Sibiu;290 m²;100 m²;Bună;3;1;Complet;Vânzare;164.900 €
Casa deosebita de vanzare cu 3 camere Sura Mare Sibiu 500 m;Sibiu / Sura Mare;500 m²;100 m²;Bună;3;1;Complet;Vânzare;175.000 €
OportunitateII Casa individuala 298 mp utili$ 665 mp teren$;Suceava / Radauti;665 m²;298 m²;Nouă;4;2;Parțial;Vânzare;185.000 €
Casa tip duplex 82 mp utili modern finisata si utilata Sura;Sibiu / Sura Mare;265 m²;82 m²;Bună;3;2;Complet;Vânzare;185.000 €
Casa Generoasa + 500mp Teren Pitesti - Exercitiu;Arges / Pitesti;503 m²;300 m²;Bună;5+;4;;Vânzare;305.000 €
Casa individuala$ la rosu$ 161 mp$ Fratautii Vechi;Suceava / Fratautii Vechi;1000 m²;161 m²;De renovat;4;1;Nemobilat;Vânzare;75.000 €
Proprietate 253 mp pretabila Casa Pensiune Gradinita 980 m;Sibiu / Cisnadie;980 m²;253 m²;Bună;5;4;Parțial;Vânzare;370.000 €
Casa individuala cu 7 camere de vanzare in Sibiu zona Selim;Sibiu / Sibiu;514 m²;290 m²;Bună;5+;2;Complet;Vânzare;349.990 €
Casa individuala $155 mp$ Fratautii Vechi;Suceava / Fratautii Vechi;300 m²;155 m²;Bună;4;2;Parțial;Vânzare;145.000 €
Casa individuala 3 camere 80 mp si teren liber 758 mp Cisnad;Sibiu / Cisnadie;935 m²;80 m²;Bună;3;1;Complet;Vânzare;209.990 €
Oportunitate! Casă individuala$ 3 camere$ zona centrală R?;Suceava / Radauti;600 m²;108 m²;Bună;3;1;Complet;Vânzare;125.000 €
CASA 5 CAMERE POPAS PACURARI-VALEA LUPULUI;Iasi / Iasi;200 m²;115 m²;Bună;5;2;Nemobilat;Vânzare;157.000 €
Casă de vânzare$ 4 camere în Valea Lupului$ Iași;Iasi / Iasi;420 m²;95 m²;Bună;4;2;Nemobilat;Vânzare;155.000 €
Casa individuala cu 4 camere CIURBESTI $ COMISION 0% $ TVA I;Iasi / Iasi;350 m²;78 m²;În construcție;4;2;;Vânzare;145.000 €
Casa individuala 1 nivel 190 mp 5 camere curte 819 mp Cisnad;Sibiu / Cisnadie;1059 m²;190 m²;Bună;5;3;Complet;Vânzare;425.000 €
Ansamblu nou$ 6 case individuale$ la cheie$ Radauti;Suceava / Radauti;300 m²;198 m²;În construcție;5;2;Nemobilat;Vânzare;206.000 €
Casa individuala$ noua$ 800mp teren $ Horodnic de Sus;Suceava / Horodnic;800 m²;260 m²;Bună;5;2;Nemobilat;Vânzare;145.000 €
COMISION 0! Casa individuala teren 500 mp si panouri solare;Sibiu / Cristian;500 m²;148 m²;Bună;5;3;Complet;Vânzare;325.000 €
Casa individuala de vanzare 5 camere parcare si garaj Selimb;Sibiu / Sibiu;250 m²;166 m²;Bună;5;2;Parțial;Vânzare;239.900 €
