Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
Casǎ cu 4 camere$ zona Sânpetru;Brasov / Brasov;344 m²;156 m²;Bună;4;3;;Vânzare;295.000 €
Casa nouă$ mobilată și utilată$ Grigorescu;Bihor / Oradea;485 m²;155 m²;Bună;4;2;;Vânzare;275.000 €
Casă și teren 635 mp de vanzare - zona Stadion-Primăverii;Constanta / Constanta;635 m²;280 m²;Bună;5+;3;;Vânzare;415.000 €
Casa 4 camere de vanzare$ zona Bratianu-Constanta;Constanta / Constanta;110 m²;64 m²;Bună;3;1;;Vânzare;105.000 €
Casa individuala$ 1800mp teren$ zona Mitocu Dragomirnei$ Suc;Suceava / Mitocu Dragomirnei;1792 m²;280 m²;Bună;5;2;Parțial;Vânzare;200.000 €
Casa pasiva cu centru Wellness inclus$ de vanzare$ oriunde i;Brasov / Brasov;1 m²;134 m²;În construcție;4;2;Nemobilat;Vânzare;239.000 €
Casa P+1 de vanzare - zona Coiciu Constanta;Constanta / Constanta;170 m²;105 m²;Bună;4;3;;Vânzare;158.000 €
Casa individuala 275 mp$ teren 17 Ari Tautii Magheraus;Maramures / Baia Mare;1700 m²;234 m²;Bună;4;2;;Vânzare;249.000 €
Casa moderna P+1 Lux $ Izvor individuala 5 camere plus pivn;Brasov / Tarlungeni;420 m²;174 m²;Bună;5;2;Complet;Vânzare;279.900 €
Casa 4 camere de tip Duplex Comision 0 teren liber 230 pivni;Sibiu / Cisnadie;300 m²;120 m²;În construcție;4;2;Nemobilat;Vânzare;211.900 €
Casa 5 camere P+1E BCA Cumpana;Constanta / Cumpana;379 m²;100 m²;De renovat;5;2;;Vânzare;117.000 €
Casa individuala curte 900 mp COMISION 0% cu 2 corpuri in Ci;Sibiu / Cisnadioara;907 m²;145 m²;Bună;4;4;Parțial;Vânzare;175.000 €
Casa individuala cu 5 camere$ 240 mp$ 12$8 ari teren$ zona;Bistrita-Nasaud / Bistrita;1280 m²;240 m²;Bună;5;2;Complet;Vânzare;265.000 €
Casa Duplex 3 camere de vanzare$ zona Mamaia Sat-Hanul cu P;Constanta / Mamaia Sat;130 m²;85 m²;Bună;3;2;Complet;Vânzare;170.000 €
Cladire spatiu comercial / birouri $ in zona Anda$ Constanta;Constanta / Constanta;450 m²;560 m²;Bună;4;5;;Vânzare;530.000 €
Casa P M si teren intravilan de in localitatea Patlageanca-;Tulcea / Patlageanca;2000 m²;68 m²;Bună;2;1;;Vânzare;45.000 €
Vilă 234 mp$ 5 Dormit. Renovată 2019$ 20 km BM$ Terasă$ T;Maramures / Berchez;1600 m²;234 m²;Bună;5+;3;Parțial;Vânzare;119.900 €
Casa de vanzare P+1$ 140 m² – confort si priveliste panor;Iasi / Iasi;200 m²;140 m²;Bună;4;2;Complet;Vânzare;205.000 €
COMISION 0% | Casă tip duplex de vânzare | 5 camere | C...;Brasov / Tarlungeni;330 m²;126 m²;Bună;5;2;Complet;Vânzare;169.999 €
Casa Moderna-Lux-La cheie-Mobilata-Utilata-Model deosebit...;Dolj / Carcea;496 m²;115 m²;Bună;4;2;;Vânzare;225.000 €
Casa 3 camer$ 115 mp$ zona Galata;Iasi / Iasi;350 m²;115 m²;Bună;3;1;Parțial;Vânzare;235.000 €
Casa de vanzare$ 3 camere$ teren 211 mp--Colosseum;Bucuresti-Ilfov / Bucuresti;211 m²;85 m²;Bună;3;1;Complet;Vânzare;155.000 €
Vilă cu 4-5 Camere în Floreasca | Ideală pentru Rezide...;Bucuresti-Ilfov / Bucuresti;200 m²;192 m²;Bună;5;3+;Nemobilat;Vânzare;850.000 €
Casa tip duplex semifinisat$ 160 mp utili$ 3 nivele$ zona Ti;Cluj / Floresti;200 m²;160 m²;Bună;4;2;Nemobilat;Vânzare;195.000 €
Casa individuala 109 mp utili$ 400 mp teren$ semifinisata$ z;Cluj / Luna De Sus;400 m²;109 m²;Bună;4;3;Nemobilat;Vânzare;175.000 €
Camil Ressu- Ramnicu Sarat-adiacent- Fizicienilor curte+p...;Bucuresti-Ilfov / Bucuresti;432 m²;376 m²;Bună;5+;3;Nemobilat;Vânzare;630.000 €
Casa / Vila moderna cu 5 camere de vanzare | Zona Traian ...;Prahova / Ploiesti;609 m²;172 m²;Nouă;5;2;;Vânzare;234.000 €
Vila Saftica- Corbeanca- DN1.;Bucuresti-Ilfov / Corbeanca;704 m²;350 m²;Renovată;4;3;;Vânzare;350.000 €
Casa individuala 5 cam P+E$ sup.utila 152 mp$ teren 601 mp Apahida;Cluj / Cluj-Napoca;601 m²;152 m²;Nouă;5;3;Nemobilat;Vânzare;335.000 €
Proprietate moderna in zona Parcului Poligon cu acces facil;Cluj / Floresti;200 m²;120 m²;Bună;4;3;Nemobilat;Vânzare;210.000 €
Vila 4 camere$ in Ploiesti$ Cartier Albert;Prahova / Ploiesti;378 m²;126 m²;Bună;4;3;Parțial;Vânzare;299.000 €
Casă + Hală Industrială + 1000 mp Teren in zona CET$ Cons;Constanta / Constanta;1000 m²;101 m²;Bună;4;2;Complet;Vânzare;240.000 €
Casa individuala semifinisata$ 5 camere$ terasa circulabila$;Cluj / Luna De Sus;400 m²;130 m²;În construcție;5;3;Nemobilat;Vânzare;199.000 €
Casă spațioasă și elegantă în Dămăroaia- Jiului- ...;Bucuresti-Ilfov / Bucuresti;360 m²;281 m²;Bună;5+;3+;;Vânzare;635.000 €
Progresul-in spatele spitalului Marius Nasta;Bucuresti-Ilfov / Bucuresti;348 m²;130 m²;Bună;5;2;;Vânzare;184.600 €
Dacia-Eminescu$vila singur curte +pod inalt$Steren=200mp;Bucuresti-Ilfov / Bucuresti;200 m²;270 m²;Bună;5+;3+;;Vânzare;449.500 €
Casa interbelica zona semicentrala Buzau;Buzau / Buzau;280 m²;100 m²;Bună;5;0;;Vânzare;90.000 €
Casa individuala pe un nivel si teren de 1300 mp in zona Tur;Sibiu / Sibiu;1300 m²;201 m²;Bună;4;2;Complet;Vânzare;500.000 €
Casa in stadiu de proiect-100mp- teren 550mp- Vacaresti;Dambovita / Targoviste;550 m²;100 m²;În construcție;3;2;Nemobilat;Vânzare;101.000 €
Casa P+1$ parte din Duplex$ 200 mp teren$ zona Damila;Dolj / Craiova;201 m²;90 m²;Bună;3;2;Complet;Vânzare;145.000 €
Austrian Village$ Duplex Complet mobiliat si utilat;Dambovita / Crevedia;457 m²;245 m²;Bună;5;3;;Vânzare;199.900 €
Casă complet renovată$ pentru locuință sau pensiune t...;Covasna / Covasna;400 m²;160 m²;Bună;5+;2;Nemobilat;Vânzare;159.000 €
Casa Mihaesti / teren 1077 mp;Valcea / Barsesti (Mihaesti);1077 m²;153 m²;Bună;5;2;;Vânzare;138.500 €
Cabana de vanzare Marisel;Cluj / Marisel;810 m²;112 m²;Bună;5;4;Complet;Vânzare;128.000 €
Casă individuală de vânzare – Dămăroaia$ Sector 1$...;Bucuresti-Ilfov / Bucuresti;219 m²;240 m²;Bună;5;3;;Vânzare;300.000 €
Vilă situata în inima Bucureștiului – lângă JW Marrio;Bucuresti-Ilfov / Bucuresti;220 m²;31 m²;Bună;5+;4;Nemobilat;Vânzare;839.000 €
Vilă cu finisaje LUX și teren de 832mp la intrare în Dezm;Cluj / Dezmir;832 m²;325 m²;Bună;5+;4;Complet;Vânzare;750.000 €
Locuinta moderna P 1E – design elegant$ 112 mp utili$ t...;Bucuresti-Ilfov / Ciorogarla;303 m²;112 m²;Bună;5;2;;Vânzare;169.000 €
Casă de vânzare$ 140 mp$ zona Micro 11;Dambovita / Targoviste;771 m²;140 m²;Bună;3;1;Nemobilat;Vânzare;180.000 €
Casa mobilata- utilata$ 300 mp$ zona Zvoristea;Suceava / Suceava;3000 m²;300 m²;Nouă;5;2;Complet;Vânzare;135.000 €
De vânzare casă cu 2 camere și teren 472 mp$ Str Valea...;Bihor / Oradea;472 m²;68 m²;De renovat;2;1;;Vânzare;75.000 €
Casa de vanzare Islaz$ Branesti;Bucuresti-Ilfov / Branesti;1000 m²;145 m²;Bună;5;0;;Vânzare;150.000 €
Caransebes$Casa Pensiune$ Jacuzzi Salina$ Comision ZERO Cump;Caras-Severin / Caransebes;1500 m²;870 m²;Bună;15;13;Complet;Vânzare;279.000 €
Vila Vetel zona Valea Caoi-OFERTA SPECIALA DE SARBATORI;Hunedoara / Vetel;1000 m²;248 m²;Nouă;2;0;;Vânzare;159.000 €
;;0;0;;;0;;;0
Glambocu - Bascov$ Casa constructie 2008$ teren 1066 mp;Arges / Bascov;1066 m²;160 m²;Bună;5;3;;Vânzare;210.000 €
Casa cu etaj$ 4 camere$ 360 mp teren$ Valea Lupului;Iasi / Valea Lupului;360 m²;120 m²;Bună;4;2;Nemobilat;Vânzare;163.500 €
Casă de vânzare $ 90mp$ zona ultracentrală;Bihor / Oradea;200 m²;90 m²;Bună;3;1;Nemobilat;Vânzare;163.000 €
Oportunitate ! Casa pe un singur nivel in Sancraiu de Mures;Mures / Sancraiu De Mures;600 m²;101 m²;Bună;3;2;Complet;Vânzare;195.000 €
OPORTUNITATE! Casa 2 camere$ teren 620mp$ vedere panoramica$;Brasov / Brasov;620 m²;64 m²;De renovat;2;1;Nemobilat;Vânzare;178.000 €
Casa de vanzare$ suprafata 134 mp$ zona Petre Ispirescu;Satu-Mare / Satu Mare;570 m²;94 m²;Nouă;4;2;Nemobilat;Vânzare;148.000 €
Casa P+E$ 110 mp utili pe 357 mp teren$ stradal$ vad si flux;Dolj / Craiova;357 m²;110 m²;Bună;4;2;Parțial;Vânzare;224.000 €
Vile de Lux 5 camere situate in apropriere de Strada Dantel;Bucuresti-Ilfov / Bragadiru;305 m²;120 m²;Bună;5;3;Nemobilat;Vânzare;349.900 €
Casă nouă individuală 4 camere$ complet mobilată$ mut...;Suceava / Radauti;200 m²;120 m²;Nouă;4;2;;Vânzare;220.000 €
Vila Premium in Rezidential aproape de Str Parfumului;Bucuresti-Ilfov / Bragadiru;285 m²;180 m²;Bună;5;4;Nemobilat;Vânzare;319.900 €
Vila Premium situata in apropriere de Cartier Fortuna;Bucuresti-Ilfov / Bragadiru;290 m²;260 m²;Bună;3;2;Nemobilat;Vânzare;319.900 €
FILM! Spatiu comercial consacrat teren intravilan$ Fotos$;Covasna / Fotos;1170 m²;260 m²;Bună;5;2;Complet;Vânzare;124.000 €
Capitol- casa de caramaida;Constanta / Constanta;176 m²;70 m²;Bună;4;1;Nemobilat;Vânzare;234.500 €
Casa Premium Individuala in Comuna Varteju Oras Magurele;Bucuresti-Ilfov / Magurele;315 m²;119 m²;Bună;4;2;Nemobilat;Vânzare;169.900 €
Vile de Lux de tip Mediteranean in apropriere de str Parfum;Bucuresti-Ilfov / Bragadiru;375 m²;152 m²;Bună;4;3;Nemobilat;Vânzare;324.900 €
Vilă premium cu încălzire în pardoseală și 2 locuri pa;Bucuresti-Ilfov / Bucuresti;87 m²;136 m²;În construcție;3;3;;Vânzare;215.000 €
Casa Individuala de tip Duplex aproape de Strada Parfumului;Bucuresti-Ilfov / Bragadiru;260 m²;165 m²;Bună;4;2;Nemobilat;Vânzare;214.900 €
FILM! Casa personalizabila 2.700mp teren$pomi fructiferi$la;Covasna / Santionlunca;2770 m²;98 m²;Bună;3;1;Nemobilat;Vânzare;115.000 €
Casa 4cam 120m utili teren 1000 mp Mobilata Chiscani;Braila / Chiscani;500 m²;120 m²;Bună;4;1;;Vânzare;79.000 €
VEZI VIDEO! PRET EXCELENT! Casa 4 cam 120m utili teren 500 m;Braila / Chiscani;500 m²;120 m²;Bună;4;1;;Vânzare;59.000 €
Vile Premium situate in comuna Clinceni aproape de pod Domn;Bucuresti-Ilfov / Clinceni;320 m²;114 m²;Bună;4;2;Nemobilat;Vânzare;129.900 €
Casa individuala de tip duplex situata in comuna Clinceni;Bucuresti-Ilfov / Clinceni;400 m²;160 m²;Bună;4;3;Nemobilat;Vânzare;129.900 €
Case Premium de tip Duplex situate pe Calea Giulesti;Bucuresti-Ilfov / Bucuresti;255 m²;141 m²;Bună;4;3;Nemobilat;Vânzare;269.900 €
DE VANZARE DOUA CASE in zona de PARC ideale pentru doua f...;Maramures / Baia Mare;849 m²;500 m²;Bună;5+;3+;;Vânzare;430.000 €
Vila de lux 7 camere si 7 bai + Piscina;Bucuresti-Ilfov / Popesti Leordeni;800 m²;320 m²;Bună;7;0;;Vânzare;588.000 €
Casa 109 mp + CURTE 500 MP$ in Petresti/Corbeanca;Bucuresti-Ilfov / Corbeanca;500 m²;109 m²;Bună;4;2;Nemobilat;Vânzare;208.000 €
Casa Premium situata in apropriere de metrou Raul Doamnei;Bucuresti-Ilfov / Bragadiru;260 m²;160 m²;Bună;5;2;Nemobilat;Vânzare;299.800 €
Casă multifuncțională cu subsol$ parter și etaj$ teren;Cluj / Copaceni;862 m²;535 m²;Nouă;5+;4;Nemobilat;Vânzare;220.000 €
Film! Un colt de liniste si confort$ in inima orasului Sfan;Covasna / Sfantu Gheorghe;200 m²;125 m²;Bună;3;2;;Vânzare;238.000 €
Casa individuala situata in apropriere de curtea Domneasca;Bucuresti-Ilfov / Clinceni;505 m²;114 m²;Bună;3;2;;Vânzare;189.900 €
Investiția perfectă - Imobil gata închiriat pretabil o...;Bucuresti-Ilfov / Catelu;370 m²;170 m²;Bună;5+;2;;Vânzare;375.000 €
Cabana din lemn rotund$ 2 camere$ 140 mp$ teren 2800 mp$ Pal;Suceava / Suceava;2800 m²;140 m²;Bună;1;1;Complet;Vânzare;200.000 €
Casa cu functie mixta$ Locativ si Comercial $ zona cart. Gh;Cluj / Cluj-Napoca;310 m²;245 m²;Bună;5;3;Complet;Vânzare;670.000 €
Duplex cu 2 camere de vanzare in Copaceni;Cluj / Copaceni;380 m²;95 m²;Bună;2;1;Parțial;Vânzare;120.000 €
Casa Sos Chitila 4 camere s029;Bucuresti-Ilfov / Bucuresti;138 m²;121 m²;Bună;4;1;Parțial;Vânzare;215.000 €
FILM Tur 3D!Oaza de liniste:doua resedinte pe 1.900mp terit;Covasna / Arcus;1894 m²;250 m²;Bună;7;0;;Vânzare;148.800 €
Oportunitate! Casa insiruita$ 4 camere$ 105 mp utili$ Avram;Cluj / Floresti;104 m²;104 m²;Bună;4;2;Complet;Vânzare;130.000 €
Vând vila Corbeanca Petrești;Bucuresti-Ilfov / Corbeanca;410 m²;140 m²;Nouă;4;0;;Vânzare;220.000 €
Duplex semifinisat$ 110mp utili$ Radauti;Suceava / Radauti;200 m²;110 m²;Nouă;4;2;Nemobilat;Vânzare;137.500 €
FILM!Refugiu elegant$cadru natural rar$ vecinatati discrete$;Brasov / Brasov;1700 m²;211 m²;Bună;5;5;;Vânzare;280.000 €
Casa Premium situata in comuna Clinceni pe str Ortansei;Bucuresti-Ilfov / Clinceni;510 m²;155 m²;Bună;4;2;Nemobilat;Vânzare;169.900 €
Vila Moderna de tip Duplex situata in apropriere de Cora Ra;Bucuresti-Ilfov / Bragadiru;245 m²;120 m²;Bună;4;2;Nemobilat;Vânzare;189.900 €
Case Smart de tip Duplex situate in comuna Clinceni in Rezi;Bucuresti-Ilfov / Clinceni;255 m²;130 m²;Bună;5;2;Nemobilat;Vânzare;119.900 €
Suprafata Generoasa | Cartier Rezidential Bunloc;Brasov / Sacele;404 m²;560 m²;Bună;5+;3+;Nemobilat;Vânzare;405.000 €
Case Individuale de Tip Smart situate in comuna Clinceni;Bucuresti-Ilfov / Clinceni;320 m²;85 m²;Bună;3;2;Nemobilat;Vânzare;94.900 €
Casa Premium cu gradina Japoneza situata in comuna Clinceni;Bucuresti-Ilfov / Clinceni;510 m²;118 m²;Bună;4;2;Parțial;Vânzare;179.800 €
Vila individuala Premium situata in zona Rezidentiala in Br;Bucuresti-Ilfov / Clinceni;920 m²;210 m²;Bună;4;2;;Vânzare;299.800 €
Vila Individuala Premium situata in apropriere de str Dante;Bucuresti-Ilfov / Bragadiru;320 m²;175 m²;Bună;5;3;Nemobilat;Vânzare;299.500 €
Casa / vila 8 camere zona Selimbar;Sibiu / Selimbar;500 m²;308 m²;Bună;5+;4;Complet;Vânzare;479.000 €
Vila Premium situata in apropriere de strada Parfumului;Bucuresti-Ilfov / Bragadiru;230 m²;130 m²;Bună;4;2;Nemobilat;Vânzare;209.900 €
Vila Mediteraneana Premim situata in apropriere de Drm Tabe;Bucuresti-Ilfov / Bragadiru;400 m²;170 m²;Bună;5;4;Nemobilat;Vânzare;349.900 €
Vila Moderna situat in apropriere de Str Ciutaci in Domnest;Bucuresti-Ilfov / Domnesti;400 m²;140 m²;Bună;4;2;Nemobilat;Vânzare;154.900 €
Casa individuala Premium situata in apropriere de Drm Taber;Bucuresti-Ilfov / Bragadiru;330 m²;140 m²;Bună;5;3;Nemobilat;Vânzare;319.900 €
Casa de Lux cu piscina in aer liber situata in comuna Clinc;Bucuresti-Ilfov / Clinceni;1020 m²;225 m²;Bună;4;2;;Vânzare;297.900 €
Vila Premium situata in zona centrala Cristalului - Bragadi;Bucuresti-Ilfov / Bragadiru;240 m²;160 m²;Bună;2;3;;Vânzare;199.900 €
Casa/Vila 7 camere zona Sud;Constanta / Navodari;377 m²;147 m²;De renovat;5+;3;;Vânzare;150.000 €
Casa Mediteraneana moderna situata in zona Fortului-Domnest;Bucuresti-Ilfov / Domnesti;220 m²;160 m²;Bună;5;3;;Vânzare;137.900 €
Vila individuala cu teren de 1500 Mihai Eminescu sat Izvora;Bucuresti-Ilfov / Ciolpani;1500 m²;125 m²;Bună;4;2;;Vânzare;199.800 €
Casa Mediteraneana moderna situata in zona Fortului-Domnest;Bucuresti-Ilfov / Domnesti;220 m²;160 m²;Bună;5;3;;Vânzare;137.900 €
Casa individuala cu 4 camere$ 581 mp de teren$ Gilau;Cluj / Gilau;581 m²;120 m²;Bună;4;3;Nemobilat;Vânzare;185.000 €
Duplex 5 camere$ 218 mp UTILI$ zona Aradului;Timis / Timisoara;290 m²;218 m²;Bună;5;3;Complet;Vânzare;299.000 €
Casa individuala$ 10 camere$ 420mp$ zona Nord;Prahova / Ploiesti;363 m²;428 m²;Bună;5+;4;;Vânzare;270.000 €
Casă – Zărnești$ Jud. Brașov;Brasov / Zarnesti;556 m²;80 m²;Renovată;3;0;;Vânzare;115.000 €
Vila individuala cu teren de 1500 Mihai Eminescu sat Izvora;Bucuresti-Ilfov / Ciolpani;1500 m²;125 m²;Bună;4;2;;Vânzare;199.800 €
Casa Premium cu teren de 420 mp situata in comuna Clinceni;Bucuresti-Ilfov / Clinceni;420 m²;115 m²;Bună;4;2;Nemobilat;Vânzare;134.900 €
Casa Premium cu teren de 420 mp situata in comuna Clinceni;Bucuresti-Ilfov / Clinceni;420 m²;115 m²;Bună;4;2;Nemobilat;Vânzare;134.900 €
Casa de Lux cu piscina in aer liber situata in comuna Clinc;Bucuresti-Ilfov / Clinceni;1020 m²;225 m²;Bună;4;2;;Vânzare;297.900 €
Casă / Vilă SMART in Voluntari/ Matei Millo/Pompa de Ca...;Bucuresti-Ilfov / Voluntari;370 m²;190 m²;Rezonabilă;5;3+;;Vânzare;390.000 €
Casa de tip Duplex Moderna situata langa Mc Donalds Bragadi;Bucuresti-Ilfov / Bragadiru;200 m²;140 m²;Bună;4;2;;Vânzare;129.900 €
CASE NOI ÎN ARHITECTURĂ ALPINO-MODERNĂ CU ALEE PRIVATA...;Brasov / Cristian;388 m²;155 m²;Bună;5;2;Nemobilat;Vânzare;330.000 €
Vila de Lux de tip Duplex situata in comuna Tamasi- Corbean;Bucuresti-Ilfov / Corbeanca;250 m²;140 m²;Bună;4;3;Nemobilat;Vânzare;297.900 €
PODUL LUI GRID 13 | CASA 4 CAMERE CU DOUA BAI SI PRIVELIS...;Brasov / Brasov;108 m²;140 m²;Bună;4;2;;Vânzare;140.000 €
VILA TA LA LAC! Proprietate exclusivistă Snagov cu ponton – 1.800 mp;Bucuresti-Ilfov / Izvorani;18000 m²;329 m²;Bună;8;3;;Vânzare;650.000 €
De vanzare casa cu 3 apartamente + anexa 75 mp$ Comision 0%;Galati / Galati;681 m²;230 m²;Bună;5;3;;Vânzare;265.000 €
Oportunitate investitie in Casa familiala;Maramures / Tautii De Sus;420 m²;50 m²;De renovat;1;1;Nemobilat;Vânzare;43.000 €
Casa 5 camere Ploiesti$ zona Nord;Prahova / Ploiesti;370 m²;136 m²;Bună;5;2;;Vânzare;129.000 €
Casa parter complet mobilata cu toate utilitatile trase;Giurgiu / Mihailesti;500 m²;101 m²;Bună;3;1;Parțial;Vânzare;150.000 €
VIGAFON - Casa 5 camere Nord-Valeni;Prahova / Ploiesti;666 m²;220 m²;Bună;5;3+;Complet;Vânzare;499.000 €
Casă modernă confortabilă$ în Mocira$ perfectă pentru;Maramures / Mocira;500 m²;100 m²;De renovat;4;2;Nemobilat;Vânzare;185.000 €
Vila insiruita Amurgului - Metrou Dimitrie Leonida;Bucuresti-Ilfov / Popesti Leordeni;48 m²;57 m²;Renovată;4;2;;Vânzare;130.000 €
CASA INDIVIDUALA $ 4 CAMERE$ VALEA ADANCA$ 5 DRUMURI;Iasi / Iasi;410 m²;110 m²;Bună;4;2;;Vânzare;200.000 €
CASA CU 5 CAMERE$ 3 BAI$ 400MP TEREN$ VALEA ADANCA;Iasi / Iasi;400 m²;110 m²;În construcție;5;3;;Vânzare;200.000 €
CASA MODERNA CU 4 CAMERE VALEA URSULUI $ CARTIER REZIDENTAL;Iasi / Iasi;400 m²;105 m²;Bună;4;2;;Vânzare;240.000 €
Casa Exclusivista contructie noua Gheorgheni zona Interserv;Cluj / Cluj-Napoca;300 m²;212 m²;Bună;5+;3;Nemobilat;Vânzare;750.000 €
Casa tip insiruita de vanzare 210mp teren prima afisare Sur;Sibiu / Sura Mica;210 m²;100 m²;Bună;3;2;Complet;Vânzare;134.900 €
CARTIER PRIVAT$ CASA 4 CAMERE$ 2 BAI$ MIROSLAVA $ PLACA DE B;Iasi / Iasi;400 m²;120 m²;În construcție;4;2;;Vânzare;206.500 €
Vila 138 MP | Pipera- Mobexpert Homes | Curte + Parcare;Bucuresti-Ilfov / Voluntari;90 m²;138 m²;Bună;5;4;Complet;Vânzare;289.000 €
Vila 136 MP | Tunari | Curte 145 MP | Centrala Proprie;Bucuresti-Ilfov / Tunari;200 m²;136 m²;Bună;4;2;Complet;Vânzare;219.000 €
VILA INDIVIDUALA OTOPENI | 4 CAMERE | 2 PARCARI | FINISAT...;Bucuresti-Ilfov / Otopeni;350 m²;131 m²;Rezonabilă;4;3;Nemobilat;Vânzare;228.000 €
Casă individuală în Chinteni$ 165 mp utili$ teren de 500;Cluj / Chinteni;500 m²;165 m²;În construcție;4;3;Nemobilat;Vânzare;230.000 €
;;0;0;;;0;;;0
Casă modernă în stil mediteranean$ cu terase și veder...;Bihor / Paleu;504 m²;120 m²;Bună;4;2;Complet;Vânzare;219.000 €
Vila 136 MP | Tunari | Curte 145 MP | Centrala Proprie;Bucuresti-Ilfov / Tunari;200 m²;136 m²;Bună;4;2;Complet;Vânzare;219.000 €
Vila 248MP | Pipera - American Village | Teren 300 MP | 3 l;Bucuresti-Ilfov / Bucuresti;300 m²;216 m²;Bună;5+;4;Complet;Vânzare;460.000 €
Casa de vanzare 5 camere zona barbeque salon de evenimete c;Brasov / Dridif;1500 m²;282 m²;Bună;5;3;Parțial;Vânzare;260.000 €
Casa cu curte de vanzare mobilata si renovata - mutare ime;Sibiu / Sibiu;169 m²;49 m²;Bună;2;1;Complet;Vânzare;114.000 €
Casa individuala cu 4 camere 2 bai – 500 mp teren 2 teras;Sibiu / Orlat;500 m²;120 m²;Bună;4;2;Nemobilat;Vânzare;199.999 €
CASA VALEA LUPULUI$3 CAMERE$ 2 BAI$ VALEA LUPULUI-500 M MALL;Iasi / Iasi;120 m²;73 m²;Bună;3;2;Parțial;Vânzare;150.000 €
1200 mp teren cu casa individuala de renovat in zona buna d;Sibiu / Sibiu;1200 m²;500 m²;Bună;5+;7;Parțial;Vânzare;1.000.000 €
Casa 3 camere 5335 teren liber garaj si anexe in Sinca Vech;Brasov / Sinca Veche;5517 m²;152 m²;Bună;3;1;Complet;Vânzare;118.700 €
*Casă Modernă FINALIZATĂ* TVA 21% INCLUS - 115 MPU - 4 ca;Iasi / Iasi;290 m²;115 m²;În construcție;4;2;;Vânzare;151.000 €
Casă cu 4 camere *finalizată & intabulată* în zona Buciu;Iasi / Iasi;500 m²;100 m²;Bună;4;2;;Vânzare;150.000 €
Cartierul Bucium-Iași *Vilă de vânzare* 135 MPU;Iasi / Iasi;576 m²;135 m²;Bună;4;2;Parțial;Vânzare;235.000 €
Casa de vanzare construita in anul 2022 cu 5 camere in Ser;Brasov / Sercaia;1250 m²;250 m²;În construcție;5;2;Nemobilat;Vânzare;113.500 €
Noul tau acasa-Casa cu curte complet mobilata si utilata 800;Brasov / Fagaras;800 m²;152 m²;Bună;4;3;Complet;Vânzare;127.000 €
VILA CU 5 CAMERE$ 150 MP UTILI$ BECI$ GARAJ$ 717 MP TEREN$ V;Iasi / Iasi;717 m²;150 m²;Bună;5;3;Complet;Vânzare;285.000 €
Casa de vacanta si anexe in Stulpicani;Suceava / Suceava;2000 m²;288 m²;Bună;5+;5;Complet;Vânzare;269.000 €
0% COMISION!! Casa Podul Brosteni;Arges / Podu Brosteni;829 m²;82 m²;Bună;3;1;Nemobilat;Vânzare;48.500 €
EXCLUSIVITATE - COMISION 0 Casa individuala 5 camere garaj P;Sibiu / Sibiu;477 m²;160 m²;Bună;5;3;Complet;Vânzare;500.000 €
Casa de vanzare in zona Turnisor utilata mobilata curte amen;Sibiu / Sibiu;220 m²;80 m²;Bună;3;2;Complet;Vânzare;205.000 €
Casă individuală cu 4 camere și 900 mp teren în zona Cal;Sibiu / Sibiu;900 m²;145 m²;Bună;4;1;Nemobilat;Vânzare;625.000 €
0% Comision!!! CASA PARTER + ETAJ - STEFANESTI $ ARGES;Arges / Stefanesti;440 m²;157 m²;Bună;5;2;;Vânzare;234.900 €
Comision 0% Casa de vanzare 67mp dressing zona Piata Cluj Si;Sibiu / Sibiu;124 m²;67 m²;Bună;4;1;Complet;Vânzare;189.000 €
Casă cu 4 camere *finalizată & intabulată* în zona Buciu;Iasi / Iasi;500 m²;100 m²;Bună;4;2;;Vânzare;150.000 €
Casa tip duplex de vanzare 120 utili teren 300 mp Sura Mica;Sibiu / Sura Mica;300 m²;120 m²;Bună;4;2;Nemobilat;Vânzare;157.000 €
0% COMISION!! CASA PARTER +MANSARDA - ARGESELU$ Arges;Arges / Maracineni;582 m²;244 m²;Bună;4;3;Nemobilat;Vânzare;260.900 €
Casă Individuală cu 4 camere în apropriere de Iași;Iasi / Iasi;310 m²;120 m²;În construcție;4;2;;Vânzare;155.000 €
Cabana/Casa de vacanta in Molid$ SV$ 136 mp$ teren cu 3300 m;Suceava / Suceava;3300 m²;136 m²;Bună;5+;5;Complet;Vânzare;264.000 €
Casa la sol stil Neoclasic modren lux in Mandruloc;Arad / Mandruloc;1890 m²;305 m²;Bună;6;4;Complet;Vânzare;420.000 €
Săbăreni$ vilă 5 camere$ cu 217 mp utili$ în apropier...;Giurgiu / Sabareni;576 m²;217 m²;Nouă;5;3;Nemobilat;Vânzare;205.000 €
Casa Izvor$ Tarlungeni$ Brasov$ Proprietar;Brasov / Tarlungeni;350 m²;145 m²;Nouă;4;2;Complet;Vânzare;195.000 €
CASA PREMIUM MIROSLAVA $ 250MP UTILI$ 5 CAMERE$ BECI$ 2 GAR;Iasi / Iasi;1100 m²;250 m²;Bună;5;3;;Vânzare;450.000 €
Casa de vacanta de vanzare 278mp curte 855mp Valea Avrigului;Sibiu / Avrig;1000 m²;278 m²;Bună;5+;6;Complet;Vânzare;275.000 €
